,songs
0,不期而遇的夏天
1,是但求其爱
2,致明日的舞
3,Fight as ONE
4,相信你的人
5,破坏王
6,海里睡人
7,渐渐
8,敬烟
9,蠢
10,疯狂的朋友
11,R U N
12,龙舌兰
13,我们万岁
14,与你常在
15,可一可再
16,龙舌兰
17,可一可再
18,渐渐
19,我们
20,放
21,收心操
22,海胆
23,谁来剪月光
24,床上的黑洞
25,右上角
26,之外
27,傅科摆
28,零下几分钟
29,披风
30,海胆
31,谁来剪月光
32,披风
33,放
34,放
35,披风
36,让我留在你身边
37,四季
38,I Do
39,在这个世界相遇
40,Sleep Alone
41,陪你度过漫长岁月
42,恐龙进化论
43,老细我撇先
44,无条件
45,人生马拉松
46,黑洞
47,心烧
48,喜欢一个人
49,万圣节的一个传说
50,起点‧终站
51,一个灵魂的独白
52,梦的可能
53,起点．终站
54,无条件
55,暴风雨
56,娱乐天空
57,四季圈
58,愚人快乐
59,不如承诺来的简单
60,对面
61,放弃治疗
62,时光隧道
63,可以了
64,阴天快乐
65,你给我听好
66,你给我听好
67,斗战神
68,娱乐天空
69,主旋律
70,告别娑婆
71,斯德哥尔摩情人
72,任我行
73,远在咫尺
74,失忆蝴蝶
75,床头床尾
76,阿猫阿狗
77,同舟之情
78,岁月如歌
79,明年今日
80,十面埋伏
81,打回原形
82,孤独探戈
83,Lonely Christmas
84,1874
85,单车
86,人来人往
87,一疋布
88,他一个人
89,活着多好
90,天使的礼物
91,我不好爱
92,小孩不懂怕
93,少见不怪
94,绵绵
95,Shall We Talk
96,一切还好
97,猜情寻
98,忘记歌词
99,打得火热
100,给爱丽斯
101,2001太空漫游
102,阿士匹灵
103,人工智能
104,第一类接触
105,冲口而出
106,随意门
107,呀边个边个
108,坏情人
109,幸灾乐祸
110,King Kong
111,最后今晚
112,兄妹
113,爱是怀疑
114,十面埋伏
115,明年今日
116,K 歌之王
117,Shall We Talk
118,打得火热
119,人来人往
120,1874
121,单车
122,忘记歌词
123,给爱丽斯
124,绵绵
125,Lonely Christmas
126,孤独探戈
127,活着多好
128,天使的礼物
129,猜情寻
130,兄妹
131,谢谢侬
132,我们都寂寞
133,你的背包
134,要你的
135,Last Order
136,爱是怀疑
137,世界
138,不如这样
139,没有你
140,我也不会那么做
141,光辉岁月
142,同舟之情
143,稳稳的幸福
144,蓝色频闪灯
145,梦想天空分外蓝
146,重口味
147,非礼
148,Class
149,碌卡
150,笑死朕
151,蚊
152,Let It Out
153,习惯说
154,信任
155,完
156,相信自己无限极
157,人人爱
158,外面的世界
159,孤独患者
160,哎呀咿呀
161,看穿
162,吟游诗人
163,张氏情歌
164,Baby Song
165,听一千遍后
166,内疚
167,还要不要走
168,积木
169,神奇化妆师
170,Muffin Man
171,那些让你死去活来的女孩
172,Hey Jude
173,李香兰
174,Stranger Under My Skin
175,最后派对
176,苦瓜
177,沼气
178,My Private Christmas Song
179,乐园
180,等你爱我
181,因为爱情
182,等你爱我
183,讲男讲女
184,叶问风中转
185,花花世界
186,我杯茶
187,超错
188,无限之城
189,City Of Hope
190,无人之境
191,大人
192,一丝不挂
193,陀飞轮
194,心腹
195,味之素
196,在你身边
197,这样的一个麻烦
198,多少
199,Nothing Ever Happened
200,你为什么哭了呢
201,谋情害命
202,我甲你
203,心的距离
204,床头灯
205,给你
206,从何说起
207,Allegro Opus 3.3am
208,还有什么可以送给你
209,于心有愧
210,今天只做一件事
211,一个旅人
212,七百年后
213,Life Goes On
214,太阳照常升起
215,不来也不去
216,沙龙
217,"Allegro, Opus 3.3 a.m."
218,还有什么可以送给你
219,于心有愧
220,今天只做一件事
221,一个旅人
222,七百年后
223,Life Goes On
224,太阳照常升起
225,不来也不去
226,沙龙
227,每一个明天
228,K歌之王
229,与我常在
230,岁月如歌
231,幸福摩天轮
232,明年今日
233,时代曲
234,十面埋伏
235,天下无双
236,伤信
237,我什么都没有
238,Shall We Talk
239,打回原形
240,单车
241,美满人生
242,新曲+精选
243,我的快乐时代
244,时光倒流20年
245,新生活
246,1874
247,贝多芬与我
248,人来人往
249,今日
250,绵绵
251,黄金时代
252,低等动物
253,阿士匹灵
254,活着多好
255,Lonely Christmas
256,昨日
257,第五个现代化
258,2001太空漫游
259,第一类接触
260,随意门
261,坏情人
262,给爱丽斯
263,打得火热
264,King Kong
265,孤独探戈
266,猜情寻
267,忘记歌词
268,幸灾乐祸
269,冲口而出
270,Katrina
271,反高潮
272,单车
273,打回原形
274,活着多好
275,他一个人
276,明年今日
277,人来人往
278,1874
279,Lonely Christmas
280,十面埋伏
281,岁月如歌
282,我们都寂寞
283,一切还好
284,绵绵
285,天使的礼物
286,K歌之王
287,Shall We Talk
288,低等动物
289,你的背包
290,阿怪
291,阿士匹灵
292,冲口而出
293,人工智能
294,坏情人
295,随意门
296,King Kong
297,第一类接触
298,给爱丽斯
299,幸灾乐祸
300,Katrina
301,呀边个边个
302,猜情寻
303,忘记歌词
304,打得火热
305,孤独探戈
306,2001太空漫游
307,阿怪
308,K歌之王
309,谢谢侬
310,低等动物
311,没有手机的日子
312,兄妹
313,十年
314,圣诞结
315,Shall We Talk
316,Because You're Good To Me
317,爱是怀疑
318,狂人日记
319,像一句广告
320,寂寞让你更快乐
321,人造卫星
322,歌·颂
323,阿牛
324,浮夸
325,葡萄成熟时
326,听听
327,人神斗
328,低调
329,最佳损友
330,暴殄天物
331,落花流水
332,想听
333,天下太平
334,裙下之臣
335,不如不见
336,黑择明
337,天公地道
338,富士山下
339,粤语残片
340,月球上的人
341,亲近
342,热岛小夜曲
343,演唱会
344,变色龙
345,时代巨轮
346,只是近黄昏
347,后台
348,K歌之王
349,十面埋伏
350,2001太空漫遊
351,歲月如歌
352,明年今日
353,人來人往
354,低等動物
355,打回原形
356,Shall We Talk
357,Lonely Christmas
358,孤獨探戈
359,幸災樂禍
360,隨意門
361,給愛麗斯
362,King Kong
363,打得火熱
364,忘記歌詞
365,單車
366,倒带人生
367,Aren't You Glad
368,不要说话
369,漂亮小姐
370,土星环
371,然后怎样
372,不再让你孤单
373,K歌之王
374,十年
375,爱是怀疑
376,想哭
377,圣诞结
378,婚礼的祝福
379,我们都寂寞
380,谢谢
381,阿怪
382,狂人日记
383,你的背包
384,预感
385,谢谢侬
386,兄妹
387,全世界失眠
388,不如这样
389,要你的
390,拔河
391,世界
392,人造卫星
393,酝酿
394,兄妹
395,十年
396,你的背包
397,K歌之王
398,Shall We Talk
399,低等动物
400,寂寞让你更快乐
401,圣诞结
402,想哭
403,不如这样
404,你会不会
405,Last Order
406,冤家
407,全世界失眠
408,我们都寂寞
409,阿怪
410,谢谢侬
411,爱是怀疑
412,Because You're Good To Me
413,Good Times
414,要你的
415,像一句广告
416,我也不会那样做
417,人造卫星
418,狂人日记
419,没有手机的日子
420,跳蚤市场
421,故事
422,男人的错
423,没有你
424,玛利奥派对
425,热岛小夜曲
426,闪
427,演唱会
428,滑铁卢车站
429,Crying in the Party
430,狂热革命
431,变色龙
432,时代巨轮
433,玛利奥派对
434,热岛小夜曲
435,闪
436,演唱会
437,滑铁卢车站
438,Crying in the Party
439,狂热革命
440,变色龙
441,时代巨轮
442,玛利奥派对
443,热岛小夜曲
444,闪
445,演唱会
446,滑铁卢车站
447,Crying In The Party
448,狂热革命
449,变色龙
450,时代巨轮
451,乜嘢啫
452,兄弟
453,烟味
454,淘汰
455,快乐男生
456,红玫瑰
457,月黑风高
458,爱情转移
459,好久不见
460,爱是一本书
461,第一个雅皮士
462,白色球鞋
463,月球上的人
464,裙下之臣
465,最后的嬉皮士
466,白玫瑰
467,黑择明
468,富士山下
469,不如不见
470,心深伤透
471,解药
472,天公地道
473,粤语残片
474,裙下之臣
475,解药
476,白玫瑰
477,最后的嬉皮士
478,富士山下
479,24
480,不求人
481,最后今晚
482,爱你入骨
483,岁月如歌
484,2001太空漫游
485,明年今日
486,给爱丽斯
487,一切还好
488,打得火热
489,1874
490,单车
491,天使的礼物
492,K歌之王
493,十面埋伏
494,孤独探戈
495,幸灾乐祸
496,第一类接触
497,低等动物
498,绵绵
499,人来人往
500,忘记歌词
501,失恋太少
502,猜情寻
503,冤气
504,冲口而出
505,Shall We Talk
506,Lonely Christmas
507,随意门
508,阿士匹灵
509,King Kong
510,他一个人
511,Katrina
512,少见不怪
513,人工智能
514,活着多好
515,呀边个边个
516,八里公路
517,热带雨林
518,Hit List Remix
519,爱是怀疑
520,坏情人
521,活跃症
522,真相
523,谎言
524,小孩不懂怕
525,我不好爱
526,心里有鬼
527,五星级迫爆
528,不知所谓
529,孤儿仔
530,一疋布
531,细路
532,裙下之臣
533,最后的嬉皮士
534,白玫瑰
535,黑择明
536,富士山下
