,歌曲名称,歌曲信息
0,是但求其爱,《是但求其爱》是由小克作词，林家谦作曲、编曲 [2]， 陈奕迅演唱的粤语歌曲 [2]，由环球音乐集团（Universal Music Ltd.）于2020年11月20日以单曲形式发行 [2]，收录于同名专辑《是但求其爱》中 [2]，后收录于陈奕迅2023年10月27日发行的专辑《CHIN UP!》中 [10]。 
1,致明日的舞,《致明日的舞》是由Oscar作词，林家谦作曲，陈奕迅演唱的歌曲，2020年10月21日通过单曲形式发行 [2]，后收录于2023年10月27日发行的专辑《CHIN UP!》中 [3]。
2,Fight as ONE,《Fight As One》是由朱敬然、郭伟亮、陈哲庐作词，宋秉洋作曲，陈奕迅、蔡依林演唱的歌曲，于2020年4月3日通过云南广播电视台发行 [2]。
3,相信你的人,《相信你的人》是电影《银河补习班》推广曲，由姚若龙作词，陈小霞作曲，陈奕迅演唱，于2019年7月5日通过环球唱片发行 [3]。同年7月23日，该曲的“热血励志版”发行 [1]。
4,海里睡人,《海里睡人》是由卢凯彤作词，孙伟明、卢凯彤作曲，陈奕迅演唱的歌曲，收录于2018年12月12日发行的专辑《L.O.V.E.》中 [1]。
5,敬烟,《敬烟》是由陈咏谦作词，苏德华作曲，陈奕迅演唱的歌曲，收录于2018年12月12日发行的专辑《L.O.V.E.》中 [1]。
6,疯狂的朋友,《疯狂的朋友》是由陈咏谦作词，恭硕良作曲，the duo band编曲，陈奕迅演唱的歌曲，收录于2018年12月12日发行的专辑《L.O.V.E.》中 [2]。
7,R U N,《R U N》是由岑宁儿作词、作曲，The Duo Band编曲，陈奕迅演唱的歌曲，收录于2018年12月12日发行的专辑《L.O.V.E.》中 [1]。
8,与你常在,《与你常在》是由陈咏谦作词，Charles Arthur Huntley、Mark James Fortin作曲，the duo band编曲，陈奕迅演唱的歌曲，于2018年5月25日通过单曲形式发行，后收录于2018年12月12日发行的专辑《L.O.V.E.》中 [1]。
9,可一可再,《可一可再》是由陈咏谦作词，陈奕迅作曲并演唱的歌曲，于2018年8月24日通过单曲形式发行 [1]，收录于2018年12月12日发行的专辑《L.O.V.E.》中 [2]。
10,可一可再,《可一可再》是由陈咏谦作词，陈奕迅作曲并演唱的歌曲，于2018年8月24日通过单曲形式发行 [1]，收录于2018年12月12日发行的专辑《L.O.V.E.》中 [2]。
11,收心操,《收心操》是由葛大为作词，陈哲庐作曲，陈奕迅演唱的歌曲，收录于2017年10月9日发行的专辑《C'mon in~》中 [1]。
12,谁来剪月光,《谁来剪月光》是由易家扬作词，冯颖琪作曲，陈奕迅演唱的歌曲，收录于陈奕迅2017年8月4日发行的双单曲EP《海胆&谁来剪月光》中 [3]，后收录于2017年10月9日发行的专辑《C'mon in~》中 [5]。
13,床上的黑洞,《床上的黑洞》是由Tim Lui、6号作词，rubber band、陈哲庐作曲，陈奕迅演唱的歌曲，收录于2017年10月9发行的专辑《C'mon in~》中 [1]。
14,右上角,《右上角》是由葛大为作词，陈哲庐作曲，陈奕迅演唱的歌曲，收录于2017年10月9日发行的专辑《C'mon in~》中 [1]。
15,之外,《之外》是由易家扬作词，徐继宗作曲，陈奕迅演唱的歌曲，收录于2017年10月9日发行的专辑《C'mon in~》中 [1]。
16,傅科摆,《傅科摆》是由葛大为作词，江志仁、陈哲庐作曲，陈奕迅演唱的歌曲，收录于2017年10月9日发行的专辑《C'mon in~》中 [1]。
17,零下几分钟,《零下几分钟》是由易家扬作词，蓝奕邦作曲，陈哲庐编曲，陈奕迅演唱的歌曲，收录于2017年10月9日发行的专辑《C'mon in~》中 [1]。
18,谁来剪月光,《谁来剪月光》是由易家扬作词，冯颖琪作曲，陈奕迅演唱的歌曲，收录于陈奕迅2017年8月4日发行的双单曲EP《海胆&谁来剪月光》中 [3]，后收录于2017年10月9日发行的专辑《C'mon in~》中 [5]。
19,在这个世界相遇,《在这个世界相遇》是动画电影《大鱼海棠》主题曲，由田晓鹏作词，窦鹏作曲，陈奕迅演唱，于2016年6月16日通过环球唱片发行 [5]。
20,Sleep Alone,《Sleep Alone》是电影《陪安东尼度过漫长岁月》英文版主题曲，由Stephen Mok填词，黎晓阳、谢国维谱曲，江志仁编曲，陈奕迅演唱，于2015年11月10日通过新艺宝唱片发行 [1]。
21,陪你度过漫长岁月,《陪你度过漫长岁月》是陈奕迅演唱的歌曲，由葛大为作词，黎晓阳、谢国维作曲，是电影《陪安东尼度过漫长岁月》的主题曲，于2015年10月14日作为单曲发行 [3]。
22,恐龙进化论,《恐龙进化论》是电影《死开啲啦》主题曲，由潘源良作词，郭伟亮作曲，陈奕迅演唱，于2015年9月10日通过Eas Music Ltd、环球唱片发行 [1]。
23,老细我撇先,《老细我撇先》是由潘源良作词，Russell Harris作曲，刘志远编曲，陈奕迅演唱的歌曲，收录于2015年7月13日发行的专辑《准备中》中 [1]。
24,人生马拉松,《人生马拉松》是由潘源良作词，曲世聪作曲，陈奕迅演唱的歌曲，收录于2015年7月13日发行的专辑《准备中》中。
25,一切还好,《一切还好》是由林夕作词，符致逸作曲，刘志远编曲，陈奕迅演唱的歌曲，收录于2005年2月4日发行的专辑《Great 5000 Secs》中 [1]。
26,不如这样,《不如这样》是由林夕作词，陈伟作曲，陈奕迅演唱的歌曲，收录于2001年7月17日发行的专辑《反正是我》中 [1]。
27,给你,《给你》是由李焯雄作词，陈奕迅作曲并演唱的歌曲，收录于2009年9月23日发行的专辑《上五楼的快活》中 [1]。并荣膺专辑主打歌，赢得了制作团队的高度赞誉。 [5]
28,七百年后,《七百年后》是香港男歌手陈奕迅的一首粤语歌曲，由林若宁作词、柳重言作曲、C.Y. Kong编曲，陈奕迅演唱，收录于专辑《H3M》中，发行于2009年03月23日。
29,忘记歌词,《忘记歌词》是由黄伟文作词，陈浩然作曲，刘志远编曲，陈奕迅演唱的歌曲，收录于2003年7月22日发行的专辑《Live For Today》中 [1]。
30,没有手机的日子,《没有手机的日子》是由林夕作词，Seth Swirsky作曲，李振权编曲，陈奕迅演唱的歌曲，收录于2002年4月2日发行的专辑《Special Thanks To…》中 [1]。
31,月球上的人,《月球上的人》是由林若宁作词，苏耀宗作曲，王菀之编曲，陈奕迅演唱的歌曲，收录于2007年4月24日发行的专辑《认了吧》中 [1]。
32,少见不怪,《少见不怪》是由黄敬佩作词，张佳添作曲，陈奕迅演唱的歌曲，收录于2002年12月5日发行的专辑《4 A Change & Hits》中 [1]。
33,活跃症,《活跃症》是由黄伟文作词，GIL EUN KYUNG、PARK JUNG WOON作曲，王双骏编曲，陈奕迅演唱的歌曲，收录于2000年9月29日发行的专辑《打得火热》中 [1]。
34,开不了心,《开不了心》是由林夕作词，伍卓贤作曲，刘志远编曲，陈奕迅演唱的歌曲，收录于2005年6月22日发行的专辑《Great 5000 Secs Vol.2》中 [1]。
35,寂寞让你更快乐,《寂寞让你更快乐》是由郭小宏作词，阿飞作曲，金培达编曲，陈奕迅演唱的歌曲，收录于2003年11月18日发行的专辑《七》中 [1]。
